ID_Produit,Nom_Produit,Catégorie,Sous-catégorie,Prix,Date_Lancement,Date_Fin_Production,Nombre_Revendeurs,Nombre_Pays_Distribution,Nombre_Publicités,Gamme,Certification
P499,Portable SSD T7,Électronique,Stockage,189,2020-01-25,2022-04-06,376,14,17,Économique,RoHS
P500,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-03-05,,164,41,40,Économique,None
P501,Galaxy S21,Électronique,Smartphone,999,2020-10-17,2022-08-01,318,50,74,Premium,CE
P502,Galaxy Note 20,Électronique,Smartphone,1099,2020-05-18,,356,32,76,Économique,CE
P503,QLED 8K TV,Électronique,Télévision,2999,2020-01-18,2022-02-11,390,24,45,Économique,FCC
P504,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-06-22,,495,16,34,Économique,None
P505,Galaxy Tab S7,Électronique,Tablette,649,2020-10-13,2022-08-01,118,35,70,Économique,FCC
P506,Galaxy Watch 3,Électronique,Montre,399,2020-03-19,,289,25,16,Économique,None
P507,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-08-27,2022-02-17,236,48,62,Premium,CE
P508,Galaxy A52,Électronique,Smartphone,499,2020-05-05,,137,30,89,Premium,FCC
P509,Portable SSD T7,Électronique,Stockage,189,2020-06-12,2022-10-05,253,41,76,Économique,CE
P510,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-05-09,,58,13,51,Économique,RoHS
P511,Galaxy S21,Électronique,Smartphone,999,2020-08-05,2022-10-05,313,1,93,Premium,FCC
P512,Galaxy Note 20,Électronique,Smartphone,1099,2020-02-20,,450,48,25,Économique,None
P513,QLED 8K TV,Électronique,Télévision,2999,2020-05-27,2022-07-07,426,47,97,Premium,None
P514,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-04-11,,279,39,55,Premium,FCC
P515,Galaxy Tab S7,Électronique,Tablette,649,2020-05-27,2022-06-15,169,34,71,Premium,RoHS
P516,Galaxy Watch 3,Électronique,Montre,399,2020-11-23,,474,32,59,Économique,FCC
P517,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-07-20,2022-05-07,208,33,33,Économique,RoHS
P518,Galaxy A52,Électronique,Smartphone,499,2020-03-16,,206,24,82,Premium,CE
P519,Portable SSD T7,Électronique,Stockage,189,2020-01-13,2022-08-30,256,25,70,Premium,CE
P520,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-10-31,,341,8,24,Économique,RoHS
P521,Galaxy S21,Électronique,Smartphone,999,2020-09-25,2022-06-07,375,13,94,Premium,None
P522,Galaxy Note 20,Électronique,Smartphone,1099,2020-07-07,,94,49,27,Économique,None
P523,QLED 8K TV,Électronique,Télévision,2999,2020-09-24,2022-08-21,361,12,76,Premium,RoHS
P524,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-08-27,,198,19,12,Économique,FCC
P525,Galaxy Tab S7,Électronique,Tablette,649,2020-09-30,2022-08-08,141,21,94,Économique,None
P526,Galaxy Watch 3,Électronique,Montre,399,2020-11-16,,378,41,41,Premium,None
P527,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-10-05,2022-01-08,484,19,93,Économique,None
P528,Galaxy A52,Électronique,Smartphone,499,2020-04-22,,293,29,28,Premium,FCC
P529,Portable SSD T7,Électronique,Stockage,189,2020-11-27,2022-10-16,303,43,78,Économique,RoHS
P530,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-09-23,,77,3,61,Premium,RoHS
P531,Galaxy S21,Électronique,Smartphone,999,2020-10-04,2022-02-04,435,34,13,Économique,CE
P532,Galaxy Note 20,Électronique,Smartphone,1099,2020-03-23,,203,48,55,Premium,CE
P533,QLED 8K TV,Électronique,Télévision,2999,2020-08-19,2022-06-29,423,37,54,Premium,None
P534,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-09-03,,149,19,55,Économique,None
P535,Galaxy Tab S7,Électronique,Tablette,649,2020-09-16,2022-01-17,133,9,99,Économique,RoHS
P536,Galaxy Watch 3,Électronique,Montre,399,2020-01-10,,241,48,97,Premium,None
P537,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-01-19,2022-12-06,228,2,86,Économique,FCC
P538,Galaxy A52,Électronique,Smartphone,499,2020-12-16,,469,22,31,Économique,FCC
P539,Portable SSD T7,Électronique,Stockage,189,2020-04-13,2022-11-18,500,29,61,Économique,CE
P540,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-05-21,,468,30,49,Économique,FCC
P541,Galaxy S21,Électronique,Smartphone,999,2020-01-01,2022-12-17,342,24,70,Premium,RoHS
P542,Galaxy Note 20,Électronique,Smartphone,1099,2020-09-02,,207,41,53,Premium,None
P543,QLED 8K TV,Électronique,Télévision,2999,2020-12-06,2022-08-05,234,44,93,Économique,CE
P544,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-06-19,,349,12,89,Économique,None
P545,Galaxy Tab S7,Électronique,Tablette,649,2020-03-29,2022-12-13,97,23,65,Économique,None
P546,Galaxy Watch 3,Électronique,Montre,399,2020-12-04,,154,26,49,Économique,FCC
P547,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-10-19,2022-11-11,305,9,99,Économique,CE
P548,Galaxy A52,Électronique,Smartphone,499,2020-12-14,,436,9,90,Économique,CE
P549,Portable SSD T7,Électronique,Stockage,189,2020-09-30,2022-07-16,298,17,16,Premium,None
P550,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-06-28,,364,17,89,Premium,CE
P551,Galaxy S21,Électronique,Smartphone,999,2020-10-10,2022-03-14,78,27,38,Économique,RoHS
P552,Galaxy Note 20,Électronique,Smartphone,1099,2020-01-20,,364,15,35,Premium,CE
P553,QLED 8K TV,Électronique,Télévision,2999,2020-01-02,2022-08-24,495,14,80,Premium,FCC
P554,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-01-20,,315,32,20,Premium,RoHS
P555,Galaxy Tab S7,Électronique,Tablette,649,2020-11-24,2022-09-17,386,13,31,Premium,RoHS
P556,Galaxy Watch 3,Électronique,Montre,399,2020-03-04,,80,22,98,Premium,None
P557,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-02-27,2022-05-25,243,17,28,Économique,RoHS
P558,Galaxy A52,Électronique,Smartphone,499,2020-09-13,,330,6,63,Économique,FCC
P559,Portable SSD T7,Électronique,Stockage,189,2020-03-13,2022-07-20,79,50,96,Économique,FCC
P560,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-05-17,,361,33,38,Économique,RoHS
P561,Galaxy S21,Électronique,Smartphone,999,2020-06-22,2022-01-01,192,41,16,Premium,CE
P562,Galaxy Note 20,Électronique,Smartphone,1099,2020-05-01,,349,43,30,Premium,FCC
P563,QLED 8K TV,Électronique,Télévision,2999,2020-07-09,2022-10-14,124,4,63,Premium,FCC
P564,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-09-22,,110,12,63,Premium,FCC
P565,Galaxy Tab S7,Électronique,Tablette,649,2020-04-22,2022-07-04,353,19,48,Premium,FCC
P566,Galaxy Watch 3,Électronique,Montre,399,2020-03-12,,137,16,98,Économique,None
P567,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-03-06,2022-08-11,382,41,35,Premium,FCC
P568,Galaxy A52,Électronique,Smartphone,499,2020-06-14,,337,44,77,Premium,RoHS
P569,Portable SSD T7,Électronique,Stockage,189,2020-12-24,2022-08-08,207,22,96,Premium,CE
P570,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-03-15,,296,32,62,Économique,CE
P571,Galaxy S21,Électronique,Smartphone,999,2020-02-04,2022-10-16,470,50,43,Premium,RoHS
P572,Galaxy Note 20,Électronique,Smartphone,1099,2020-08-28,,211,34,30,Économique,FCC
P573,QLED 8K TV,Électronique,Télévision,2999,2020-06-10,2022-10-04,143,47,59,Premium,CE
P574,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-06-27,,345,17,61,Économique,None
P575,Galaxy Tab S7,Électronique,Tablette,649,2020-11-09,2022-10-08,66,20,77,Économique,None
P576,Galaxy Watch 3,Électronique,Montre,399,2020-12-06,,152,36,11,Économique,CE
P577,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-04-19,2022-06-11,289,34,17,Premium,FCC
P578,Galaxy A52,Électronique,Smartphone,499,2020-10-24,,218,9,65,Premium,CE
P579,Portable SSD T7,Électronique,Stockage,189,2020-05-10,2022-11-24,362,4,31,Premium,FCC
P580,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-12-06,,399,41,32,Économique,None
P581,Galaxy S21,Électronique,Smartphone,999,2020-01-11,2022-03-04,110,34,43,Économique,None
P582,Galaxy Note 20,Électronique,Smartphone,1099,2020-12-19,,176,24,12,Premium,FCC
P583,QLED 8K TV,Électronique,Télévision,2999,2020-01-07,2022-05-27,487,14,81,Premium,FCC
P584,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-05-20,,349,7,90,Économique,RoHS
P585,Galaxy Tab S7,Électronique,Tablette,649,2020-12-06,2022-10-03,126,8,31,Économique,RoHS
P586,Galaxy Watch 3,Électronique,Montre,399,2020-07-17,,324,19,69,Économique,RoHS
P587,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-03-11,2022-02-08,70,48,35,Économique,None
P588,Galaxy A52,Électronique,Smartphone,499,2020-11-22,,402,37,45,Économique,None
P589,Portable SSD T7,Électronique,Stockage,189,2020-11-24,2022-06-12,344,19,17,Économique,FCC
P590,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-02-03,,459,47,47,Économique,RoHS
P591,Galaxy S21,Électronique,Smartphone,999,2020-10-06,2022-04-20,282,35,56,Économique,CE
P592,Galaxy Note 20,Électronique,Smartphone,1099,2020-05-21,,477,2,91,Économique,None
P593,QLED 8K TV,Électronique,Télévision,2999,2020-05-25,2022-06-19,486,50,38,Économique,RoHS
P594,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-08-27,,418,4,31,Premium,RoHS
P595,Galaxy Tab S7,Électronique,Tablette,649,2020-04-25,2022-05-25,386,28,88,Économique,RoHS
P596,Galaxy Watch 3,Électronique,Montre,399,2020-11-02,,261,3,51,Économique,None
P597,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-12-17,2022-10-09,197,40,58,Premium,FCC
P598,Galaxy A52,Électronique,Smartphone,499,2020-10-18,,272,40,57,Économique,CE
P599,Portable SSD T7,Électronique,Stockage,189,2020-07-15,2022-06-12,444,5,23,Économique,None
P600,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-07-03,,478,2,12,Économique,RoHS
P601,Galaxy S21,Électronique,Smartphone,999,2020-01-19,2022-11-27,477,39,28,Économique,CE
P602,Galaxy Note 20,Électronique,Smartphone,1099,2020-01-02,,390,8,95,Économique,None
P603,QLED 8K TV,Électronique,Télévision,2999,2020-01-23,2022-04-23,224,33,76,Premium,None
P604,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-05-02,,438,49,13,Économique,RoHS
P605,Galaxy Tab S7,Électronique,Tablette,649,2020-09-06,2022-12-19,367,7,59,Économique,CE
P606,Galaxy Watch 3,Électronique,Montre,399,2020-04-05,,163,48,79,Économique,RoHS
P607,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-08-17,2022-03-27,161,30,100,Premium,RoHS
P608,Galaxy A52,Électronique,Smartphone,499,2020-11-01,,498,13,80,Premium,RoHS
P609,Portable SSD T7,Électronique,Stockage,189,2020-08-03,2022-11-01,435,19,53,Économique,None
P610,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-07-31,,496,45,43,Premium,FCC
P611,Galaxy S21,Électronique,Smartphone,999,2020-03-01,2022-11-15,232,48,10,Économique,None
P612,Galaxy Note 20,Électronique,Smartphone,1099,2020-08-02,,279,15,71,Premium,CE
P613,QLED 8K TV,Électronique,Télévision,2999,2020-04-20,2022-08-30,50,33,87,Premium,RoHS
P614,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-05-31,,260,31,21,Premium,FCC
P615,Galaxy Tab S7,Électronique,Tablette,649,2020-08-17,2022-09-01,171,44,67,Premium,None
P616,Galaxy Watch 3,Électronique,Montre,399,2020-01-04,,67,49,79,Économique,CE
P617,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-09-16,2022-06-29,359,7,71,Premium,FCC
P618,Galaxy A52,Électronique,Smartphone,499,2020-12-03,,444,8,86,Premium,CE
P619,Portable SSD T7,Électronique,Stockage,189,2020-01-14,2022-12-27,133,15,54,Économique,RoHS
P620,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-05-14,,155,3,30,Premium,FCC
P621,Galaxy S21,Électronique,Smartphone,999,2020-02-16,2022-11-08,138,40,72,Premium,CE
P622,Galaxy Note 20,Électronique,Smartphone,1099,2020-10-17,,293,45,37,Premium,None
P623,QLED 8K TV,Électronique,Télévision,2999,2020-05-13,2022-05-10,127,5,60,Premium,RoHS
P624,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-08-03,,168,13,70,Économique,FCC
P625,Galaxy Tab S7,Électronique,Tablette,649,2020-05-07,2022-10-21,401,7,23,Premium,RoHS
P626,Galaxy Watch 3,Électronique,Montre,399,2020-09-25,,343,30,27,Premium,CE
P627,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-04-11,2022-04-02,170,11,69,Économique,None
P628,Galaxy A52,Électronique,Smartphone,499,2020-08-31,,235,17,60,Premium,CE
P629,Portable SSD T7,Électronique,Stockage,189,2020-09-09,2022-11-22,431,20,96,Premium,RoHS
P630,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-06-09,,475,39,71,Économique,FCC
P631,Galaxy S21,Électronique,Smartphone,999,2020-11-26,2022-11-13,361,35,68,Économique,CE
P632,Galaxy Note 20,Électronique,Smartphone,1099,2020-02-18,,191,2,69,Premium,None
P633,QLED 8K TV,Électronique,Télévision,2999,2020-11-21,2022-11-29,170,28,13,Économique,None
P634,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-04-13,,269,2,57,Économique,CE
P635,Galaxy Tab S7,Électronique,Tablette,649,2020-12-23,2022-04-19,396,31,60,Premium,FCC
P636,Galaxy Watch 3,Électronique,Montre,399,2020-11-25,,233,15,91,Économique,CE
P637,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-09-15,2022-08-08,196,15,62,Premium,None
P638,Galaxy A52,Électronique,Smartphone,499,2020-10-30,,81,40,22,Premium,CE
P639,Portable SSD T7,Électronique,Stockage,189,2020-06-27,2022-01-13,447,22,10,Premium,None
P640,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-06-28,,433,6,81,Premium,None
P641,Galaxy S21,Électronique,Smartphone,999,2020-12-04,2022-03-04,353,29,53,Économique,FCC
P642,Galaxy Note 20,Électronique,Smartphone,1099,2020-12-01,,493,40,87,Premium,FCC
P643,QLED 8K TV,Électronique,Télévision,2999,2020-03-31,2022-03-01,113,1,30,Premium,RoHS
P644,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-12-13,,451,42,72,Premium,FCC
P645,Galaxy Tab S7,Électronique,Tablette,649,2020-07-01,2022-12-13,127,26,55,Économique,CE
P646,Galaxy Watch 3,Électronique,Montre,399,2020-09-21,,365,20,86,Économique,FCC
P647,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-12-02,2022-01-12,64,6,54,Premium,FCC
P648,Galaxy A52,Électronique,Smartphone,499,2020-03-11,,132,44,39,Économique,FCC
P649,Portable SSD T7,Électronique,Stockage,189,2020-01-26,2022-07-07,89,43,27,Économique,CE
P650,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-10-01,,406,46,23,Premium,CE
P651,Galaxy S21,Électronique,Smartphone,999,2020-01-08,2022-10-05,205,15,97,Économique,FCC
P652,Galaxy Note 20,Électronique,Smartphone,1099,2020-09-17,,304,39,78,Premium,FCC
P653,QLED 8K TV,Électronique,Télévision,2999,2020-12-04,2022-05-29,315,27,89,Premium,None
P654,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-10-30,,314,43,59,Premium,RoHS
P655,Galaxy Tab S7,Électronique,Tablette,649,2020-04-10,2022-11-11,246,46,63,Premium,CE
P656,Galaxy Watch 3,Électronique,Montre,399,2020-03-19,,224,38,11,Économique,CE
P657,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-06-13,2022-08-30,148,38,100,Économique,FCC
P658,Galaxy A52,Électronique,Smartphone,499,2020-12-11,,53,24,23,Économique,FCC
P659,Portable SSD T7,Électronique,Stockage,189,2020-10-10,2022-05-25,331,3,38,Premium,FCC
P660,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-06-11,,323,18,80,Premium,FCC
P661,Galaxy S21,Électronique,Smartphone,999,2020-07-26,2022-02-24,467,24,87,Économique,None
P662,Galaxy Note 20,Électronique,Smartphone,1099,2020-07-04,,144,44,88,Premium,None
P663,QLED 8K TV,Électronique,Télévision,2999,2020-01-12,2022-09-24,156,40,38,Premium,CE
P664,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-07-20,,67,35,59,Économique,FCC
P665,Galaxy Tab S7,Électronique,Tablette,649,2020-01-09,2022-02-24,467,25,75,Premium,FCC
P666,Galaxy Watch 3,Électronique,Montre,399,2020-01-29,,339,14,97,Économique,None
P667,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-05-05,2022-10-23,196,13,63,Économique,RoHS
P668,Galaxy A52,Électronique,Smartphone,499,2020-01-30,,339,34,26,Premium,FCC
P669,Portable SSD T7,Électronique,Stockage,189,2020-07-09,2022-10-21,470,27,33,Économique,FCC
P670,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-01-18,,154,21,12,Économique,CE
P671,Galaxy S21,Électronique,Smartphone,999,2020-01-16,2022-12-10,357,3,89,Premium,None
P672,Galaxy Note 20,Électronique,Smartphone,1099,2020-12-20,,221,48,15,Économique,None
P673,QLED 8K TV,Électronique,Télévision,2999,2020-03-21,2022-11-25,89,50,85,Premium,FCC
P674,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-03-21,,279,8,33,Premium,CE
P675,Galaxy Tab S7,Électronique,Tablette,649,2020-08-25,2022-04-30,457,40,100,Économique,None
P676,Galaxy Watch 3,Électronique,Montre,399,2020-03-13,,243,25,70,Économique,FCC
P677,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-01-14,2022-11-20,231,20,24,Premium,RoHS
P678,Galaxy A52,Électronique,Smartphone,499,2020-02-06,,420,32,33,Premium,CE
P679,Portable SSD T7,Électronique,Stockage,189,2020-12-06,2022-07-29,229,13,80,Économique,CE
P680,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-11-24,,489,45,65,Économique,CE
P681,Galaxy S21,Électronique,Smartphone,999,2020-02-28,2022-12-20,450,6,75,Premium,None
P682,Galaxy Note 20,Électronique,Smartphone,1099,2020-09-03,,147,21,38,Premium,CE
P683,QLED 8K TV,Électronique,Télévision,2999,2020-11-20,2022-12-18,92,25,69,Premium,FCC
P684,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-09-03,,328,11,59,Économique,RoHS
P685,Galaxy Tab S7,Électronique,Tablette,649,2020-01-10,2022-05-31,195,50,72,Premium,CE
P686,Galaxy Watch 3,Électronique,Montre,399,2020-08-08,,218,11,17,Premium,None
P687,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-01-17,2022-02-03,497,46,96,Premium,RoHS
P688,Galaxy A52,Électronique,Smartphone,499,2020-08-22,,148,30,15,Premium,FCC
P689,Portable SSD T7,Électronique,Stockage,189,2020-01-07,2022-01-22,347,5,57,Économique,CE
P690,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-01-28,,297,18,51,Premium,CE
P691,Galaxy S21,Électronique,Smartphone,999,2020-03-08,2022-03-01,229,33,20,Premium,FCC
P692,Galaxy Note 20,Électronique,Smartphone,1099,2020-07-04,,76,27,81,Premium,RoHS
P693,QLED 8K TV,Électronique,Télévision,2999,2020-11-12,2022-03-06,472,48,49,Économique,None
P694,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-05-27,,409,12,49,Économique,None
P695,Galaxy Tab S7,Électronique,Tablette,649,2020-07-26,2022-06-29,320,40,74,Premium,CE
P696,Galaxy Watch 3,Électronique,Montre,399,2020-01-29,,457,25,94,Premium,None
P697,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-06-09,2022-08-02,228,46,98,Premium,RoHS
P698,Galaxy A52,Électronique,Smartphone,499,2020-03-07,,61,28,67,Premium,RoHS
P699,Portable SSD T7,Électronique,Stockage,189,2020-06-30,2022-01-01,129,40,25,Premium,CE
P700,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-09-28,,246,33,96,Économique,FCC
P701,Galaxy S21,Électronique,Smartphone,999,2020-08-28,2022-12-29,319,36,86,Premium,RoHS
P702,Galaxy Note 20,Électronique,Smartphone,1099,2020-04-09,,50,4,30,Économique,None
P703,QLED 8K TV,Électronique,Télévision,2999,2020-11-07,2022-03-21,137,31,56,Premium,FCC
P704,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-12-31,,428,9,29,Premium,FCC
P705,Galaxy Tab S7,Électronique,Tablette,649,2020-02-03,2022-05-31,209,48,94,Premium,CE
P706,Galaxy Watch 3,Électronique,Montre,399,2020-10-15,,115,20,18,Économique,FCC
P707,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-10-31,2022-02-19,78,8,28,Économique,RoHS
P708,Galaxy A52,Électronique,Smartphone,499,2020-03-26,,410,31,24,Premium,FCC
P709,Portable SSD T7,Électronique,Stockage,189,2020-01-30,2022-09-06,467,6,69,Économique,RoHS
P710,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-02-09,,483,29,82,Économique,CE
P711,Galaxy S21,Électronique,Smartphone,999,2020-02-24,2022-07-21,154,24,87,Économique,None
P712,Galaxy Note 20,Électronique,Smartphone,1099,2020-05-27,,407,39,64,Premium,CE
P713,QLED 8K TV,Électronique,Télévision,2999,2020-11-23,2022-06-23,492,50,88,Premium,RoHS
P714,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-11-25,,410,38,59,Économique,RoHS
P715,Galaxy Tab S7,Électronique,Tablette,649,2020-03-17,2022-07-02,215,25,86,Premium,RoHS
P716,Galaxy Watch 3,Électronique,Montre,399,2020-03-02,,403,50,27,Premium,CE
P717,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-12-11,2022-07-19,351,12,62,Économique,None
P718,Galaxy A52,Électronique,Smartphone,499,2020-07-04,,423,4,15,Économique,FCC
P719,Portable SSD T7,Électronique,Stockage,189,2020-08-23,2022-08-19,484,22,18,Économique,RoHS
P720,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-09-19,,241,47,49,Premium,None
P721,Galaxy S21,Électronique,Smartphone,999,2020-01-20,2022-10-28,272,34,28,Économique,RoHS
P722,Galaxy Note 20,Électronique,Smartphone,1099,2020-10-17,,126,17,62,Premium,FCC
P723,QLED 8K TV,Électronique,Télévision,2999,2020-08-06,2022-11-22,347,15,43,Premium,CE
P724,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-08-03,,77,15,57,Premium,RoHS
P725,Galaxy Tab S7,Électronique,Tablette,649,2020-05-09,2022-11-25,393,44,91,Premium,None
P726,Galaxy Watch 3,Électronique,Montre,399,2020-09-03,,152,3,15,Premium,CE
P727,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-10-19,2022-04-15,419,44,23,Premium,FCC
P728,Galaxy A52,Électronique,Smartphone,499,2020-11-04,,394,11,38,Économique,FCC
P729,Portable SSD T7,Électronique,Stockage,189,2020-12-02,2022-04-11,296,2,63,Premium,RoHS
P730,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-08-20,,65,11,31,Premium,CE
P731,Galaxy S21,Électronique,Smartphone,999,2020-07-09,2022-02-09,392,14,53,Économique,None
P732,Galaxy Note 20,Électronique,Smartphone,1099,2020-11-09,,359,41,94,Économique,FCC
P733,QLED 8K TV,Électronique,Télévision,2999,2020-07-13,2022-08-05,359,15,48,Premium,FCC
P734,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-10-10,,297,25,86,Économique,CE
P735,Galaxy Tab S7,Électronique,Tablette,649,2020-01-14,2022-07-21,234,7,95,Premium,RoHS
P736,Galaxy Watch 3,Électronique,Montre,399,2020-03-02,,295,37,46,Premium,CE
P737,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-08-06,2022-11-14,181,26,70,Premium,CE
P738,Galaxy A52,Électronique,Smartphone,499,2020-08-18,,425,49,80,Premium,None
P739,Portable SSD T7,Électronique,Stockage,189,2020-06-25,2022-04-29,384,47,88,Économique,FCC
P740,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-12-24,,492,4,36,Économique,RoHS
P741,Galaxy S21,Électronique,Smartphone,999,2020-09-11,2022-12-04,378,25,17,Premium,CE
P742,Galaxy Note 20,Électronique,Smartphone,1099,2020-12-31,,146,32,81,Économique,RoHS
P743,QLED 8K TV,Électronique,Télévision,2999,2020-12-27,2022-05-10,412,28,73,Premium,None
P744,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-10-04,,474,19,89,Premium,None
P745,Galaxy Tab S7,Électronique,Tablette,649,2020-05-22,2022-06-02,191,22,73,Premium,None
P746,Galaxy Watch 3,Électronique,Montre,399,2020-09-04,,418,11,36,Premium,None
P747,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-10-07,2022-08-04,371,17,33,Premium,RoHS
P748,Galaxy A52,Électronique,Smartphone,499,2020-01-23,,169,2,59,Premium,CE
P749,Portable SSD T7,Électronique,Stockage,189,2020-03-09,2022-01-09,429,46,78,Premium,FCC
P750,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-04-30,,435,49,100,Premium,FCC
P751,Galaxy S21,Électronique,Smartphone,999,2020-11-25,2022-06-18,442,29,51,Économique,FCC
P752,Galaxy Note 20,Électronique,Smartphone,1099,2020-11-08,,257,7,97,Économique,FCC
P753,QLED 8K TV,Électronique,Télévision,2999,2020-06-26,2022-02-18,479,17,76,Premium,None
P754,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-06-07,,75,50,39,Premium,None
P755,Galaxy Tab S7,Électronique,Tablette,649,2020-01-05,2022-07-22,170,24,90,Premium,CE
P756,Galaxy Watch 3,Électronique,Montre,399,2020-09-05,,331,10,55,Premium,FCC
P757,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-06-21,2022-08-09,150,48,24,Premium,CE
P758,Galaxy A52,Électronique,Smartphone,499,2020-03-15,,391,49,29,Premium,None
P759,Portable SSD T7,Électronique,Stockage,189,2020-07-16,2022-03-01,420,42,58,Économique,CE
P760,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-02-13,,89,44,20,Premium,CE
P761,Galaxy S21,Électronique,Smartphone,999,2020-04-09,2022-11-16,475,13,94,Économique,None
P762,Galaxy Note 20,Électronique,Smartphone,1099,2020-10-22,,144,32,95,Économique,FCC
P763,QLED 8K TV,Électronique,Télévision,2999,2020-09-29,2022-07-10,427,11,42,Premium,FCC
P764,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-04-22,,242,9,66,Économique,None
P765,Galaxy Tab S7,Électronique,Tablette,649,2020-06-09,2022-12-16,188,44,66,Économique,CE
P766,Galaxy Watch 3,Électronique,Montre,399,2020-09-20,,147,34,38,Économique,FCC
P767,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-04-11,2022-01-01,53,20,92,Économique,CE
P768,Galaxy A52,Électronique,Smartphone,499,2020-05-04,,69,2,32,Premium,FCC
P769,Portable SSD T7,Électronique,Stockage,189,2020-04-09,2022-04-25,196,40,64,Premium,FCC
P770,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-07-04,,90,5,43,Économique,RoHS
